label,cell,family,ladder,rung,physical_position,charge,spin_odd,rung_pair,leg_pair_right
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,2,2,1.0003841984592237,0.1545587848902706,9.604608386653827e-12,-1.5921215016203143e-12
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,3,3,1.0001107835366914,-0.1930445107976245,1.108369757841216e-11,-1.345849433159211e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,4,4,0.9997147304404015,0.23604774109901705,1.9546892724190525e-11,-1.1898632979559913e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,5,5,0.9989871006917206,-0.26881967611145025,2.2231470009657953e-11,-1.6682707640185714e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,6,6,0.9973801033843919,0.2916179019123092,2.2627410991811427e-11,-1.1497417443852537e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,7,7,0.9937455349502975,-0.30289837565496935,2.9667674277315254e-11,-3.137862246102124e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,8,8,0.9858784261277247,0.3018185224282195,5.863078128675145e-11,-4.741413559874447e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,9,9,0.9708075087807976,-0.2878989490673131,6.162093160592746e-11,-3.18494823092276e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,10,10,0.94665389100998,0.2591637942941498,4.766491580433261e-11,-1.1462649614471405e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,11,11,0.9152487238545953,-0.21331034381490543,1.9364641783337606e-11,-1.4325465909776543e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,12,12,0.8833086355255773,0.15015519242958927,7.131009192413654e-11,-4.631429719300881e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,13,13,0.8601135042051227,-0.07282011844085724,5.3908893914586034e-11,5.2880014369077004e-12
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,14,14,0.8532427677257763,-0.01193961516817707,6.746669443597284e-11,-1.1153445451769455e-10
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,15,15,0.8650277272409159,0.09545917949864749,5.205720096646043e-12,-5.965582954211497e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,16,16,0.8914907050122042,-0.1694114214631279,1.9129354710959376e-10,-6.106407136213185e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,17,17,0.9241836059398137,0.2281579421244247,1.2388191579745898e-11,1.6505646542881173e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,18,18,0.9540684172098624,-0.26987555312178446,6.096427906235782e-11,-4.544528035856787e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,19,19,0.9753756122607933,0.2959245632366627,2.308232158560258e-11,4.6759264647546145e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,20,20,0.9867573559160818,-0.3091301799686788,2.2738646275512278e-10,-8.18468092002264e-11
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,21,21,0.9891776721624903,0.31173280681573845,6.993553641814352e-11,-4.6102697908295366e-11
