label,cell,family,ladder,cell_sweep,energy_per_site,spin_rms,pair_rms,charge_std,density,global_relative,dmrg_last_sweep_delta
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,50,-0.5188203278973932,1.4018541497976567e-05,0.017968768569339603,0.005652906500755276,0.9374950576903929,1.2941192087493327e-05,1.0348117029934656e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,51,-0.5188203206992119,1.4246398211373803e-05,0.017968801832368222,0.0056526952508862095,0.9374952111927269,1.083397286408925e-05,1.0291103080817265e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,52,-0.5188205517269242,1.2350123610786714e-05,0.017970081746703594,0.00563784652874856,0.9375000134032424,5.75261678294476e-05,1.0692815521906596e-09
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,53,-0.5188205880038032,1.0201470040038783e-05,0.017971315267014235,0.005630264170077549,0.9375029584217294,4.124281302485121e-05,5.846862904945738e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,54,-0.5188203317860689,1.0198324601879155e-05,0.017969140764494986,0.005656392458719756,0.9374929512417206,8.459557404254799e-05,8.32048954180209e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,55,-0.5188203237967368,1.1185785405556119e-05,0.01796893512437358,0.005651319984470264,0.9374957391246486,2.4826530191380673e-05,2.407960550954158e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,56,-0.5188203316533784,1.213108052568357e-05,0.017968820729439172,0.005652904323078201,0.9374949739330813,9.430077673347342e-06,3.158618255838519e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,57,-0.5188203313873911,1.3166565984939768e-05,0.01796879508948598,0.0056525698198395345,0.9374952594550814,1.3605042181145174e-05,8.340413160112803e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,58,-0.5188206050708765,1.1555393587779642e-05,0.01797014102609178,0.005635231288619958,0.9375010459596168,6.394814393908685e-05,2.673692733878852e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,59,-0.5188203303309249,1.0777628632922452e-05,0.017968952510230615,0.005655772142958176,0.9374935252615003,6.837836519887642e-05,1.9058830957874306e-07
