run_id,selection,geometry,V,t0,distance,count,mean,mean_abs,std
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,9,39,0.014065529903009346,0.014065529903009346,5.603282711227948e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,10,38,0.013781022009054776,0.013781022009054776,5.5477165406474735e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,11,37,0.013587256678568593,0.013587256678568593,5.528674944090868e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,12,36,0.013459642944405601,0.013459642944405601,5.530782517791633e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,13,35,0.013375824924266673,0.013375824924266673,5.5355767568270656e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,14,34,0.013320555638931277,0.013320555638931277,5.5649628472720624e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,15,33,0.013283773645856966,0.013283773645856966,5.5993462718168215e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,16,32,0.013258690672768598,0.013258690672768598,5.6559107606159075e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,17,31,0.013241139094739755,0.013241139094739755,5.7232976776907245e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,18,30,0.01322861341872051,0.01322861341872051,5.776843559170282e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,19,29,0.013219423633943902,0.013219423633943902,5.824099360892981e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,20,28,0.013212457492257083,0.013212457492257083,5.8733462511921416e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,21,27,0.013207061645975482,0.013207061645975482,5.9168581560900884e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,22,26,0.01320269032399125,0.01320269032399125,5.969901917070975e-05
