run_id,selection,geometry,V,t0,source,channel,kx_multiple,kx_period,kx_over_pi,ky_over_pi,amplitude
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-18,54,-0.6666666666666666,1.0,8.493651962460399e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-17,54,-0.6296296296296297,1.0,1.5921034254734317e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-16,54,-0.5925925925925926,1.0,1.3704951434892533e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-15,54,-0.5555555555555556,1.0,1.1857049800275997e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-14,54,-0.5185185185185185,1.0,1.911068700457262e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-13,54,-0.48148148148148145,1.0,1.9460168442241306e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-12,54,-0.4444444444444444,1.0,1.0174730491977076e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-11,54,-0.4074074074074074,1.0,8.602112714077208e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-10,54,-0.37037037037037035,1.0,9.447315011669557e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-9,54,-0.3333333333333333,1.0,1.651013246745666e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-8,54,-0.2962962962962963,1.0,1.0150500432602851e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-7,54,-0.25925925925925924,1.0,1.737598477237107e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-6,54,-0.2222222222222222,1.0,2.1373869742874144e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-5,54,-0.18518518518518517,1.0,1.9522803976753103e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-4,54,-0.14814814814814814,1.0,1.4971922181726593e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-3,54,-0.1111111111111111,1.0,1.9894362644492487e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-2,54,-0.07407407407407407,1.0,9.864177434822614e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-1,54,-0.037037037037037035,1.0,1.6675199062556398e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,0,54,0.0,1.0,1.1907492656502314e-09
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,1,54,0.037037037037037035,1.0,1.6675199062556406e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,2,54,0.07407407407407407,1.0,9.86417743482263e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,3,54,0.1111111111111111,1.0,1.9894362644492373e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,4,54,0.14814814814814814,1.0,1.497192218172654e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,5,54,0.18518518518518517,1.0,1.9522803976753222e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,6,54,0.2222222222222222,1.0,2.1373869742874353e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,7,54,0.25925925925925924,1.0,1.7375984772370584e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,8,54,0.2962962962962963,1.0,1.0150500432602798e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,9,54,0.3333333333333333,1.0,1.6510132467456587e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,10,54,0.37037037037037035,1.0,9.447315011669774e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,11,54,0.4074074074074074,1.0,8.602112714077158e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,12,54,0.4444444444444444,1.0,1.0174730491976917e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,13,54,0.48148148148148145,1.0,1.9460168442241306e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,14,54,0.5185185185185185,1.0,1.911068700457258e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,15,54,0.5555555555555556,1.0,1.1857049800275916e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,16,54,0.5925925925925926,1.0,1.3704951434892658e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,17,54,0.6296296296296297,1.0,1.5921034254734285e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,18,54,0.6666666666666666,1.0,8.493651962460457e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,19,54,0.7037037037037037,1.0,6.893332312261827e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,20,54,0.7407407407407407,1.0,6.866816514601626e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,21,54,0.7777777777777778,1.0,8.016233354836555e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,22,54,0.8148148148148148,1.0,4.417742033261853e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,23,54,0.8518518518518519,1.0,1.1149052773534183e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,24,54,0.8888888888888888,1.0,8.395786943643938e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,25,54,0.9259259259259259,1.0,1.831988374696074e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,26,54,0.9629629629629629,1.0,1.0055269995762305e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-27,54,-1.0,0.0,3.1343974120775843e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-26,54,-0.9629629629629629,0.0,7.019148974779572e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-25,54,-0.9259259259259259,0.0,1.2080529970091983e-05
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-24,54,-0.8888888888888888,0.0,4.582966086799667e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-23,54,-0.8518518518518519,0.0,2.0674190740001493e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-22,54,-0.8148148148148148,0.0,2.7136005378245136e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-21,54,-0.7777777777777778,0.0,3.082698995131777e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-20,54,-0.7407407407407407,0.0,2.276332538500542e-06
