L,U,V,t0,density,chi,E_N,E_p,rel_diff
64,8.0,0.0,1.1,0.9375,1500,-71.36478364866207,-0.1521874915371484,9.493898205742321e-07
64,8.0,0.0,1.2,0.875,1000,-88.41854651126805,-0.15524509269530995,4.366094106056112e-09
64,8.0,0.0,1.2,0.9375,1000,-75.29627818531637,-0.17989619749147323,1.674855412083639e-09
64,8.0,0.0,1.3,0.875,1500,-92.94025891495059,-0.17370844809298092,4.6771117122414785e-07
64,8.0,0.0,1.3,0.9375,1500,-79.82283944297322,-0.1877067296919961,7.315247263441905e-07
64,8.0,0.0,1.4,0.875,1000,-98.17263024419373,-0.08412801804161063,1.848572047795789e-08
64,8.0,0.0,1.4,0.9375,1000,-85.00110549902801,-0.14653773091916378,1.3241418614180932e-10
64,8.0,0.0,1.5,0.875,1500,-104.21974794599407,-0.057100077377640446,3.4023380802735474e-07
64,8.0,0.0,1.5,0.9375,1500,-90.88868602326752,-0.06616322163432642,9.030458640960403e-07
64,8.0,0.0,1.6,0.875,1500,-110.98784147902097,-0.0016484553069631147,4.534487680562511e-07
64,8.0,0.0,1.6,0.9375,1000,-97.46007630080943,-0.020682618946864295,1.1313602435870997e-06
64,8.0,0.0,1.6,0.9375,1500,-97.4602048190628,-0.008429394423870917,9.019805571806553e-07
64,8.0,0.0,1.8,0.875,1500,-125.78342315695762,0.00981747779349007,6.833252274035048e-07
64,8.0,0.0,1.8,0.9375,1500,-112.06532196889772,0.005413731910550723,9.298345087578853e-07
64,8.0,0.0,2.0,0.875,1500,-141.6841574937566,0.013823011713441247,8.959494840900031e-07
64,8.0,0.0,2.0,0.9375,1500,-128.0388674966253,0.008800985923073767,9.687447794926581e-07
64,8.0,0.2,1.0,0.875,1000,-53.35727377795066,-0.0754757584358714,1.176045331684459e-09
64,8.0,0.2,1.0,0.9375,1000,-35.68103213987173,-0.11473802579720882,3.3923023297318167e-09
64,8.0,0.2,1.2,0.9375,1000,-43.034902317876345,-0.15307266912955697,9.032335525603482e-06
64,8.0,0.2,1.4,0.9375,1000,-52.78136108456024,-0.11678278200975001,5.671149845902612e-06
64,8.0,0.2,1.6,0.9375,1000,-65.47449191504197,0.0029657102582518746,8.689028529674955e-06
64,8.0,0.4,1.0,0.875,1000,-25.705787396808987,-0.06437371538615366,3.204820940996302e-09
64,8.0,0.4,1.0,0.9375,1000,-3.4594338561972577,-0.09991495929269512,1.3818855997202321e-08
64,8.0,0.4,1.2,0.9375,1000,-10.848860151850845,-0.12901622196565654,2.7867008702072668e-06
64,8.0,0.4,1.4,0.9375,1000,-20.640018841764675,-0.08109618148863973,9.12714958242621e-06
64,8.0,0.4,1.6,0.9375,1000,-33.5894811929709,0.008632919480035639,7.794874710846949e-06
64,8.0,0.6,1.0,0.875,1000,1.8519502867812925,-0.053373821026746704,3.2384121845660417e-07
64,8.0,0.6,1.0,0.9375,1000,28.691153003022194,-0.08764618856895368,2.222024927800172e-08
64,8.0,0.8,1.0,0.875,1000,29.310968909460392,-0.044773416128776944,2.20188363470072e-10
64,8.0,0.8,1.0,0.9375,1000,60.76658613471041,-0.07754120641791928,7.885959766377175e-09
64,8.0,1.0,1.0,0.875,1000,56.66357539132947,-0.038969148914802076,4.943474611597634e-09
64,8.0,1.0,1.0,0.9375,1000,92.76108861100825,-0.06920022840827755,2.996068323891865e-09
