t0,V,family,rung,physical_charge,physical_spin_odd,physical_rung_pair
1.4,0.0,stripe,50,0.977810895016565,-0.22897488343037575,-3.1714884310632085e-10
1.4,0.0,stripe,51,0.9586722823905404,0.20740214201951407,-1.8074781072573126e-10
1.4,0.0,stripe,52,0.930776685515352,-0.1746622957859248,-1.3180542777852157e-10
1.4,0.0,stripe,53,0.8977078910534934,0.1301216730722181,-1.2465760107044282e-10
1.4,0.0,stripe,54,0.868128802284497,-0.07587924414445392,-1.3156044190772469e-10
1.4,0.0,stripe,55,0.8525000780370264,0.016140379045523415,-1.396363318823979e-10
1.4,0.0,stripe,56,0.857065557213464,0.04423381469551728,-1.4115444014791892e-10
1.4,0.0,stripe,57,0.8798206469807957,-0.10033046590706442,-1.3318931698606895e-10
1.4,0.0,stripe,58,0.9119222158793787,0.14740627570958353,-1.1761931256959667e-10
1.4,0.0,stripe,59,0.943283141863642,-0.18186335752992627,-9.77204992150261e-11
1.4,0.0,stripe,60,0.9676248212706724,0.2021772607889787,-7.703497313212794e-11
1.4,0.0,stripe,61,0.9835797123050344,-0.20822910216224266,-5.318064472584745e-11
1.4,0.0,stripe,62,0.9926702146161679,0.1999568299420484,-2.767906632652287e-11
1.4,0.0,stripe,63,0.9971924916014109,-0.17801826766386694,-1.3919848527691782e-11
1.4,0.0,stripe,64,0.9992449129794165,0.12238057705748674,-4.9908719297069214e-12
1.4,0.0,pairing,1,0.9996759510498658,-0.12689019747399738,-0.0002407599180622109
1.4,0.0,pairing,2,0.9987658806432191,0.18488182490016486,-0.0006507084551902768
1.4,0.0,pairing,3,0.996645697015787,-0.20909893544240638,-0.0010432744219850067
1.4,0.0,pairing,4,0.9920625839261876,0.22112236958304593,-0.0014625000436097205
1.4,0.0,pairing,5,0.9832094659521616,-0.221064516336082,-0.001890139724600694
1.4,0.0,pairing,6,0.9678059309096725,0.20956938269921832,-0.0023055325415237047
1.4,0.0,pairing,7,0.9441198270835778,-0.1860846241015168,-0.002718131292565557
1.4,0.0,pairing,8,0.9132908678224578,0.1499167152807034,-0.0031107902305161036
1.4,0.0,pairing,9,0.8813893628864291,-0.10208431649837352,-0.003429900217540891
1.4,0.0,pairing,10,0.8583774401672876,0.04586581404039784,-0.003610029914159536
1.4,0.0,pairing,11,0.8531608624591932,0.014232773381201186,-0.003615171189305008
1.4,0.0,pairing,12,0.8680091164733625,-0.07351921754124364,-0.0034737556756008147
1.4,0.0,pairing,13,0.8969981607867482,0.12730639018906473,-0.0032797097647795414
1.4,0.0,pairing,14,0.9298285357589333,-0.1714593780955292,-0.003157316429610082
1.4,0.0,pairing,15,0.9577366023962518,0.20376274232732855,-0.0032146892535174585
1.4,0.0,pairing,16,0.9768432823156206,-0.22457457905533398,-0.0035148545188661575
1.4,0.0,pairing,17,0.9873820472769305,0.23578470234662102,-0.004071482345856433
1.4,0.0,pairing,18,0.9909820240154844,-0.23917836090275013,-0.004862249361079286
1.4,0.0,pairing,19,0.9885847381780783,0.23549473009495875,-0.0058491427909190775
1.4,0.0,pairing,20,0.9797685213312667,-0.2242805483667807,-0.006985844078502495
1.4,0.0,pairing,21,0.9632679230631748,0.20418134579445896,-0.008208673991244805
1.4,0.0,pairing,22,0.9386495242812374,-0.1738106113715901,-0.009416709295624852
1.4,0.0,pairing,23,0.9085785330518494,0.13310066143062033,-0.010460720014254521
1.4,0.0,pairing,24,0.8798715732529383,-0.08414734524632263,-0.011184288302932987
