campaign,family,t0,V,segment_iteration,cumulative_iteration,corrected_energy_per_site,spin_rms,pair_rms
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,58,58,-1.0452512060135175,0.34161669647705534,1.6706084904409084e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,59,59,-1.0452512152078655,0.3416167806642089,7.399288232726924e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,60,60,-1.0452512145672135,0.3416168653827049,2.7890890742982116e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,1,1,-0.7821294534840473,0.32779662253849773,0.00040604892465057843
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,2,2,-0.792444418698548,0.3445473531909911,6.742114790334451e-05
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,3,3,-0.7944969578457896,0.34781611203139345,1.274298515535269e-05
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,4,4,-0.7948743623431569,0.348479868544354,2.4665640219081486e-06
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,5,5,-0.794947505258514,0.3486206216362828,4.900554875751778e-07
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,6,6,-0.7949625322865764,0.3486513897162786,9.792913282420142e-08
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,7,7,-0.7949657686525351,0.34865822061766455,1.9647636644055955e-08
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,8,8,-0.7949664786948574,0.3486597622753175,3.9445196314924706e-09
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,9,9,-0.7949666391327654,0.3486601076216534,7.923674124577912e-10
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,10,10,-0.7949666763904312,0.3486601783465387,1.5899217314095775e-10
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,11,11,-0.7949666824885967,0.3486602024002579,3.210870944846198e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,12,12,-0.7949666848841943,0.34866021048812984,6.354015271573834e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,13,13,-0.7949666842136058,0.34866022374220856,1.3142074497168195e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,14,14,-0.7949666836734602,0.3486602312826954,5.734577423978551e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,15,15,-0.7949666868114788,0.3486602246708246,5.292884547295001e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,16,16,-0.7949666840966738,0.34866023759931525,3.7526402852195634e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,17,17,-0.7949666859465115,0.3486602356890176,7.212890384924904e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,18,18,-0.7949666857752566,0.3486602357652245,7.253598454334115e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,19,19,-0.7949666832704865,0.3486602505021811,6.5618328530051845e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,20,20,-0.7949666847910236,0.3486602531082094,2.179084953136922e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,21,21,-0.7949666842179972,0.34866025987372856,5.5276708008688705e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,22,22,-0.7949666845698212,0.3486602651378033,3.886902214258343e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,23,23,-0.7949666870541039,0.34866025566004133,7.166411147820654e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,24,24,-0.7949666842306738,0.34866026458425,7.234203332288883e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,25,25,-0.794966685750945,0.3486602655197407,1.2840013464085433e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,26,26,-0.7949666839937355,0.3486602753209896,4.952071285216507e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,27,27,-0.7949666835667065,0.3486602854633928,2.276232767195101e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,28,28,-0.794966685242028,0.34866028553744216,1.8797217522843793e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,29,29,-0.7949666848654218,0.34866028732294524,3.6161486200608837e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,30,30,-0.7949666858094192,0.348660285937143,3.3342275044428127e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,31,31,-0.7949666831444858,0.3486602999956065,4.739996514147616e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,32,32,-0.7949666845132437,0.34866030475599197,5.644056125386362e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,33,33,-0.7949666849269604,0.3486603073911628,6.5694333736323665e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,34,34,-0.7949666852208034,0.34866030914613294,8.980633421992918e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,35,35,-0.7949666831981101,0.3486603183852451,2.3555853152356747e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,36,36,-0.7949666820982813,0.34866033054341905,3.001147051532462e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,37,37,-0.7949666850547655,0.34866033195558316,4.3237196395790085e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,38,38,-0.7949666855168949,0.3486603296670715,3.527372772425061e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,39,39,-0.7949666840634627,0.3486603370803951,3.812549620044399e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,40,40,-0.7949666847545783,0.34866034127749373,2.1011195686498362e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,41,41,-0.794966684519871,0.348660344578343,2.7210347912399284e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,42,42,-0.7949666807357829,0.3486603635696055,6.19066154176403e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,43,43,-0.7949666891658782,0.3486603415230312,1.2244136982219237e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,44,44,-0.7949666835354029,0.3486603532959055,2.070096555245632e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,45,45,-0.7949666846428317,0.34866035551685753,7.980542089071503e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,46,46,-0.7949666859798364,0.3486603541279008,3.4208237226565893e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,47,47,-0.794966685361714,0.3486603589277934,2.4597671050867056e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,48,48,-0.7949666827221897,0.3486603736216901,4.279616893702929e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,49,49,-0.7949666841202647,0.34866037936690314,7.045419949000838e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,50,50,-0.7949666860991155,0.34866037434164937,2.665405825051392e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,51,51,-0.7949666831504592,0.34866038871026156,1.1508071240174593e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,52,52,-0.7949666851956004,0.3486603880823036,7.116689883975123e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,53,53,-0.7949666845311234,0.3486603930756637,9.210884372551418e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,54,54,-0.7949666868690566,0.3486603845105128,2.590999871902914e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,55,55,-0.7949666829858506,0.34866039943106925,1.2734542539556314e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,56,56,-0.7949666866155419,0.3486603946537294,2.91137129606738e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,57,57,-0.7949666836157808,0.34866040677530447,6.335058571794698e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,58,58,-0.794966684340511,0.3486604126215048,6.636974316283474e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,59,59,-0.7949666836253592,0.3486604219725362,8.785721578127225e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.2,60,60,-0.7949666857672084,0.34866042270545267,8.580853237389163e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.2,1,1,-0.7640129046574254,0.09473931398474213,0.020045683095492775
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.2,2,2,-0.7668914074926244,0.2656317021324531,0.0078011678861507365
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.2,3,3,-0.784790075327966,0.3312001201373116,0.0016316712262214237
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.2,4,4,-0.7928551872928613,0.345185654069744,0.0003260243719195829
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.2,5,5,-0.7945725502751603,0.34794646640266597,6.54220650745956e-05
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.2,6,6,-0.7948879260639563,0.3485143746001532,1.3479713384480882e-05
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.2,7,7,-0.7949501820766358,0.3486357146702595,2.7725318973908715e-06
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.2,8,8,-0.7949630978134696,0.34866233777133804,5.737251965383864e-07
