id,reference,direction,window_low,window_high,actual_low,actual_high,points,fit,exponent_or_inverse_length,r2,log_rmse,sign_changes,minimum_magnitude
backfill_4,32,-1,8,20,8,20,13,power,10.113948310186824,0.8651401845588108,1.1261305671079689,0,3.7460772620521594e-08
backfill_4,32,-1,8,20,8,20,13,exponential,0.7932031104179016,0.9367030190408863,0.7715053899361218,0,3.7460772620521594e-08
backfill_4,32,-1,12,28,12,23,12,power,14.538996670306693,0.9472884395062074,0.6958130506514388,0,3.7460772620521594e-08
backfill_4,32,-1,12,28,12,23,12,exponential,0.8504123649576845,0.9382847483548412,0.7528975527206216,0,3.7460772620521594e-08
backfill_4,32,1,4,12,4,12,9,power,1.1905680479671088,0.5660557363658629,0.3646705781664617,0,0.00013055786360371207
backfill_4,32,1,4,12,4,12,9,exponential,0.18047287387065483,0.7085412020679501,0.29886312580873636,0,0.00013055786360371207
backfill_4,32,1,8,20,8,20,13,power,10.444786350838722,0.8677229166090645,1.1500621527313386,0,3.018852597575746e-08
backfill_4,32,1,8,20,8,20,13,exponential,0.8186425470614375,0.9383365814167091,0.7852226262483993,0,3.018852597575746e-08
backfill_4,32,1,12,28,12,24,13,power,14.278876361604993,0.9365590386729374,0.7971690181719956,0,2.9068644606691692e-08
backfill_4,32,1,12,28,12,24,13,exponential,0.8095794379422228,0.9160430967529906,0.9170515295592544,0,2.9068644606691692e-08
backfill_5,16,1,4,12,4,12,9,power,0.9697925731308267,0.4857045480516007,0.3491067414746483,0,4.528601249392514e-05
backfill_5,16,1,4,12,4,12,9,exponential,0.1488822151946851,0.6235777316108014,0.2986685869756471,0,4.528601249392514e-05
backfill_5,16,1,8,20,8,20,13,power,10.547744804258318,0.8766871150873364,1.1156077180385762,0,1.7678587359260686e-08
backfill_5,16,1,8,20,8,20,13,exponential,0.8250992207264015,0.9443344372064021,0.7495499562975009,0,1.7678587359260686e-08
backfill_5,16,1,12,28,12,28,17,power,11.711452730310498,0.9298545868725231,0.823944517116609,0,2.6346312655417534e-09
backfill_5,16,1,12,28,12,28,17,exponential,0.5962362012843391,0.8815587601583008,1.0706556221538355,0,2.6346312655417534e-09
backfill_5,24,-1,4,12,4,12,9,power,7.481443290128187,0.94144777515556,0.6527067398379409,0,3.768183411632525e-06
backfill_5,24,-1,4,12,4,12,9,exponential,1.0321182491899272,0.9760562851464365,0.4173901176051925,0,3.768183411632525e-06
backfill_5,24,-1,8,20,8,15,8,power,5.797295045600355,0.7309207646930145,0.7209109043590459,0,3.768183411632525e-06
backfill_5,24,-1,8,20,8,15,8,exponential,0.4902142616802091,0.653203018214727,0.818425508265073,0,3.768183411632525e-06
backfill_5,24,1,4,12,4,12,9,power,7.607948415882189,0.923098986511256,0.768189874917782,0,2.5874379230008543e-06
backfill_5,24,1,4,12,4,12,9,exponential,1.0614022921627342,0.9787317779135541,0.4039876978475032,0,2.5874379230008543e-06
backfill_5,24,1,8,20,8,20,13,power,5.765164378757136,0.842660078895941,0.7025462627932434,0,3.8959018510538886e-07
backfill_5,24,1,8,20,8,20,13,exponential,0.4180494159248493,0.7799600347629995,0.8308186706338554,0,3.8959018510538886e-07
backfill_5,24,1,12,28,12,28,17,power,12.382581590508691,0.8125682297749842,1.5233439117079155,0,1.6360774362526946e-10
backfill_5,24,1,12,28,12,28,17,exponential,0.6778356010382062,0.8906504183382857,1.163549652110404,0,1.6360774362526946e-10
backfill_5,32,-1,4,12,4,12,9,power,1.183289742899246,0.5403468760816776,0.38179392186396033,0,5.7581437922821686e-05
backfill_5,32,-1,4,12,4,12,9,exponential,0.18000992761471696,0.6811987638223569,0.31796103392310865,0,5.7581437922821686e-05
backfill_5,32,-1,8,20,8,20,13,power,10.718843723824945,0.8982019943774604,1.0176549408864293,0,3.691462740877068e-08
backfill_5,32,-1,8,20,8,20,13,exponential,0.833411169999646,0.9558392233524208,0.670269198070975,0,3.691462740877068e-08
backfill_5,32,-1,12,28,12,23,12,power,13.13001510379772,0.9259614536091806,0.7532584780149305,0,3.691462740877068e-08
backfill_5,32,-1,12,28,12,23,12,exponential,0.7582043084762745,0.8939168304110622,0.9016507125506527,0,3.691462740877068e-08
backfill_5,32,1,4,12,4,12,9,power,1.7094308902363327,0.6731057487132324,0.41674717453564747,0,7.197184155838981e-05
backfill_5,32,1,4,12,4,12,9,exponential,0.2530523519643376,0.8035103075311718,0.32310145141807844,0,7.197184155838981e-05
backfill_5,32,1,8,20,8,20,13,power,11.522068767786726,0.9063035716640782,1.044780634878292,0,3.022041248343941e-08
backfill_5,32,1,8,20,8,20,13,exponential,0.894275544220734,0.9610446195977617,0.6736701758625232,0,3.022041248343941e-08
backfill_5,32,1,12,28,12,24,13,power,12.996899627324467,0.911403397288173,0.869224699402684,0,2.7308742722706835e-08
backfill_5,32,1,12,28,12,24,13,exponential,0.7272171992763975,0.8681789889199709,1.0602684616204976,0,2.7308742722706835e-08
backfill_6,16,1,4,12,4,12,9,power,0.8497223952481452,0.44957702394749754,0.32891404019581205,0,3.9629102562602396e-05
backfill_6,16,1,4,12,4,12,9,exponential,0.13100604423630705,0.5821342296944554,0.2865843918619657,0,3.9629102562602396e-05
backfill_6,16,1,8,20,8,20,13,power,10.28046722803231,0.8667022817791324,1.1369967406761208,0,1.2797865142384647e-08
backfill_6,16,1,8,20,8,20,13,exponential,0.806122338610196,0.9380677893270795,0.7750079425512728,0,1.2797865142384647e-08
backfill_6,16,1,12,28,12,28,17,power,11.946313931859166,0.9330430675827458,0.8197396286438525,0,2.3104295127531213e-09
backfill_6,16,1,12,28,12,28,17,exponential,0.6088438336967785,0.8864755315571017,1.067389422920215,0,2.3104295127531213e-09
backfill_6,24,-1,4,12,4,12,9,power,7.577786340069086,0.9444219996046324,0.6430872390853328,0,3.1963793431037486e-06
backfill_6,24,-1,4,12,4,12,9,exponential,1.0428371289434815,0.9743272415724163,0.4370737258921127,0,3.1963793431037486e-06
backfill_6,24,-1,8,20,8,15,8,power,5.546857504712317,0.7121570767653813,0.722750064057371,0,3.1963793431037486e-06
