id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spin_rms,short_raw_mean,short_raw_abs,short_connected_mean,short_connected_abs,long_raw_mean,long_raw_abs,long_connected_mean,long_connected_abs,rung_anomalous_rms,leg0_mean_2_8,leg0_negative_fraction_2_8,leg1_mean_2_8,leg1_negative_fraction_2_8,rung_leg0_mean_2_8,rung_leg0_negative_fraction_2_8,rung_leg1_mean_2_8,rung_leg1_negative_fraction_2_8
backfill_41,square,1.4,-0.15,200,False,maximum_iterations,60,,square__stripe_weak_other_t01400_vm0150_chi200_raw,4.3773115907799406e-07,3.24416146916089e-06,0.021586404749304323,0.021586404749304323,0.011764579004690287,0.011764579004690287,0.010055018048324576,0.010055018048324576,0.00022695487608714987,0.00022695487608714987,0.09895308509825573,0.003540132563505256,0.0,0.0035399300063085532,0.0,-0.005967898268987647,1.0,-0.00598040136664839,1.0
backfill_42,square,1.4,-0.15,200,False,maximum_iterations,60,,square__pairing_weak_other_t01400_vm0150_chi200_raw,9.693160471340307e-08,2.0318243651353914e-06,0.021587114572865548,0.021587114572865548,0.011765313841122584,0.011765313841122584,0.01005498024982637,0.01005498024982637,0.0002269549217833195,0.0002269549217833195,0.09895286488906616,0.0035403405344095456,0.0,0.0035401381045511884,0.0,-0.005968214336972102,1.0,-0.005980717879757029,1.0
backfill_43,square,1.25,-0.4,200,False,maximum_iterations,60,,square__stripe_weak_other_t01250_vm0400_chi200_raw,2.40613106067296e-05,0.14196955369927605,0.015239477005348544,0.015239477005348544,0.015239477004979754,0.015239477004979754,0.000353801092143589,0.000353801092143589,0.00035380109188108417,0.00035380109188108417,6.150208370830579e-07,0.003695605627597266,0.0,0.0036967746108941706,0.0,-0.007238026575251742,1.0,-0.00726748771135689,1.0
backfill_44,square,1.25,-0.4,200,False,maximum_iterations,60,,square__pairing_weak_other_t01250_vm0400_chi200_raw,1.3741445594834742e-06,9.604996937951656e-05,0.01989883389012891,0.01989883389012891,0.011091990820442595,0.011091990820442595,0.009091539564189486,0.009091539564189486,0.00030253178366670643,0.00030253178366670643,0.09350702044545212,0.002523225939289273,0.0,0.0025220917978898655,0.0,-0.005364656092733062,1.0,-0.005385397849718814,1.0
backfill_45,square,1.3,-0.4,200,False,maximum_iterations,60,,square__stripe_weak_other_t01300_vm0400_chi200_raw,2.866725752614929e-07,1.0472166447960832e-06,0.021521098183345102,0.021521098183345102,0.01164780587317324,0.01164780587317324,0.010172824097537211,0.010172824097537211,0.0003159063841536435,0.0003159063841536435,0.099056452276723,0.00294239956345366,0.0,0.0029421928015902123,0.0,-0.005725645498340773,1.0,-0.005741793587328303,1.0
backfill_46,square,1.3,-0.4,200,False,maximum_iterations,60,,square__pairing_weak_other_t01300_vm0400_chi200_raw,6.611816338574763e-07,3.6999084238773254e-07,0.02152090356524968,0.02152090356524968,0.011647784062560904,0.011647784062560904,0.010172652670513154,0.010172652670513154,0.0003159016068577436,0.0003159016068577436,0.09905555602226092,0.0029423817351755146,0.0,0.002942177004117285,0.0,-0.005725629967475423,1.0,-0.005741778773987861,1.0
backfill_47,square,1.35,-0.4,200,False,maximum_iterations,60,,square__stripe_weak_other_t01350_vm0400_chi200_raw,4.0116943924922363e-07,6.970796387875825e-07,0.022697165559968483,0.022697165559968483,0.011927307807963517,0.011927307807963517,0.011073654763475518,0.011073654763475518,0.00031904361768037633,0.00031904361768037633,0.10349977012943462,0.0032852797870170625,0.0,0.0032853111407122313,0.0,-0.005954237392864608,1.0,-0.005966118472859744,1.0
backfill_48,square,1.35,-0.4,200,False,maximum_iterations,60,,square__pairing_weak_other_t01350_vm0400_chi200_raw,5.979980986022156e-07,6.569664474054079e-07,0.022696789699168628,0.022696789699168628,0.011926937913174904,0.011926937913174904,0.011073647921114246,0.011073647921114246,0.00031903503604237905,0.00031903503604237905,0.10349977715015589,0.0032851756194966285,0.0,0.0032852073326125977,0.0,-0.005954071143489614,1.0,-0.005965952107602528,1.0
backfill_49,square,1.2,0.2,200,False,maximum_iterations,60,,square__stripe_weak_other_t012_vp02_chi200_raw,7.193200821769153e-05,0.23326823296241075,0.007439167161703239,0.007439167161703239,0.007439167161703239,0.007439167161703239,1.8437882472546419e-06,1.8437882472546419e-06,1.8437882472546442e-06,1.8437882472546442e-06,5.387082725569292e-10,0.0008742357171437473,0.10420168067226891,0.0008737008949664817,0.09747899159663866,-0.003071431670710352,1.0,-0.0030979855239728843,1.0
backfill_50,square,1.2,0.2,200,False,maximum_iterations,60,,square__pairing_weak_other_t012_vp02_chi200_raw,5.369699418667829e-05,0.23321226374058635,0.007454642942773705,0.007454642942773705,0.007454642942773705,0.007454642942773705,1.8700731857056582e-06,1.8700731857056582e-06,1.8700731857056633e-06,1.8700731857056633e-06,4.736250347981043e-10,0.0008758340798601471,0.09747899159663866,0.0008754365714471914,0.09747899159663866,-0.0030778909431077688,1.0,-0.0031034007203682747,1.0
backfill_51,square,1.2,0.2,200,False,maximum_iterations,60,,square__intertwined_lambda08_t012_vp02_chi200_raw,6.408375536559098e-05,0.20700441469942948,0.009615745103763142,0.009615745103763142,0.009615745103762605,0.009615745103762605,1.9410099513262884e-05,1.9410099513262884e-05,1.9410099512951816e-05,1.9410099512951816e-05,2.430873419732111e-08,0.001620838633941382,0.06722689075630252,0.0016219774584255637,0.06386554621848739,-0.004288576109430465,1.0,-0.004326911757093793,1.0
backfill_52,square,1.2,0.2,200,False,maximum_iterations,60,,square__intertwined_lambda16_t012_vp02_chi200_raw,9.154467408634863e-05,0.23358133055051075,0.007289922524313755,0.007289922524313755,0.0072899225243137555,0.0072899225243137555,1.7258117550583295e-06,1.7258117550583295e-06,1.7258117550583723e-06,1.7258117550583723e-06,2.2925400363825078e-09,0.0008488730581962937,0.09411764705882353,0.0008489897893012955,0.0907563025210084,-0.0030137937999171645,1.0,-0.0030391223534941805,1.0
backfill_53A,trellis,1.0,0.0,200,False,maximum_iterations,60,A,trellis__one_ladder__stripe_eps005_chi200_raw60,2.326870998416164e-06,1.2148433985509103e-05,0.010325448912987359,0.010325448912987359,0.005977724105524526,0.005977724105524526,0.004395652169896389,0.004395652169896389,4.641091245203553e-05,4.641091245203553e-05,0.06578930404525814,0.00021217366905435607,0.15294117647058825,0.00021447779218373395,0.15294117647058825,-0.0025956573256519827,1.0,-0.0026643843922044682,1.0
backfill_54A,trellis,1.0,0.0,200,False,maximum_iterations,60,A,trellis__one_ladder__pairing_eps005_chi200_raw60,3.304658516417591e-07,1.3678433950770507e-05,0.010325412682836757,0.010325412682836757,0.005977733865499498,0.005977733865499498,0.004395601181457409,0.004395601181457409,4.641084885632313e-05,4.641084885632313e-05,0.06578888229783533,0.00021218610187356682,0.15294117647058825,0.00021448600775311516,0.15294117647058825,-0.002595658759560278,1.0,-0.002664379537068245,1.0
