id,kind,channel,r,mean,mean_absolute,p10,p90
backfill_11,connected,rung,12,0.00042506752548881094,0.00042506752548881094,8.242764509372088e-05,0.0010764613151202718
backfill_11,connected,rung,13,0.0002721583814624097,0.0002721583814624097,8.105261928925669e-05,0.0006390320002907495
backfill_11,connected,rung,14,0.00017599230560596645,0.00017599230560596645,6.798112391645525e-05,0.0003828175830185758
backfill_11,connected,rung,15,0.0001164419652241298,0.0001164419652241298,5.0950185462551477e-05,0.0002057905355465992
backfill_11,connected,rung,16,7.96507750748469e-05,7.96507750748469e-05,3.631100706606976e-05,0.0001193788722373528
backfill_11,connected,rung,17,5.641521069450833e-05,5.641521069450833e-05,2.3930246359614013e-05,9.170850759096924e-05
backfill_11,connected,rung,18,4.1064364608665666e-05,4.1064364608665666e-05,1.4679668018972923e-05,8.351478669672377e-05
backfill_11,connected,rung,19,3.034258282038953e-05,3.034258282038953e-05,8.450274064480473e-06,6.448965466162496e-05
backfill_11,connected,rung,20,2.2457635654537967e-05,2.2457635654537967e-05,4.115022885014673e-06,5.036094008165338e-05
backfill_11,connected,rung,21,1.6442427603797727e-05,1.6442427603797727e-05,1.7871363453234152e-06,3.893988569579321e-05
backfill_11,connected,rung,22,1.1783950247156146e-05,1.1783950247156146e-05,7.067902030387227e-07,3.051901150406979e-05
backfill_11,connected,rung,23,8.208572192598512e-06,8.208572192598512e-06,4.7215467460381857e-07,2.0756222337178544e-05
backfill_11,connected,rung,24,5.544998819248775e-06,5.544998819248775e-06,3.2474279609297924e-07,1.5379630922970162e-05
backfill_11,connected,rung,25,3.6448449252431815e-06,3.6448449252431815e-06,3.1648177981367317e-07,9.600681880855148e-06
backfill_11,connected,rung,26,2.3583451817378837e-06,2.3583451817378837e-06,2.83003172689276e-07,6.704164474168491e-06
backfill_11,connected,rung,27,1.5270354274809741e-06,1.5270354274809741e-06,2.8926187209329406e-07,3.9426875242011504e-06
backfill_11,connected,rung,28,1.002756247722374e-06,1.002756247722374e-06,2.9033078074384586e-07,2.5623573888119504e-06
backfill_11,connected,rung,29,6.700671093641436e-07,6.700671093641436e-07,2.6249531597514644e-07,1.4592212599078968e-06
backfill_11,connected,rung,30,4.557922369501925e-07,4.557922369501925e-07,1.9892663089875701e-07,8.492158730896723e-07
backfill_11,connected,rung,31,3.155047744143548e-07,3.155047744143548e-07,1.4308160681719373e-07,4.923088731962729e-07
backfill_11,connected,rung,32,2.209498860260686e-07,2.209498860260686e-07,9.680438298160207e-08,3.538859136806291e-07
backfill_11,connected,leg0,1,0.08744002315437167,0.08744002315437167,0.049873434218086536,0.1348605875988649
backfill_11,connected,leg0,2,0.002170887739193115,0.0023529543233841246,-0.00033756123686528336,0.006414365719552356
backfill_11,connected,leg0,3,0.0028907120881831367,0.0028907120881831367,0.0004477238405515801,0.006343731248950914
backfill_11,connected,leg0,4,0.002232011410276964,0.002232011410276964,0.00015302667920856448,0.005375099168310709
backfill_11,connected,leg0,5,0.0020873462547895934,0.0020873462547895934,0.00016891047294655614,0.004807919133085104
backfill_11,connected,leg0,6,0.001422284862433221,0.001422284862433221,9.082095660066853e-05,0.0034989094564273336
backfill_11,connected,leg0,7,0.0010686099668699891,0.0010686099668699891,6.821017623556686e-05,0.0025300939338500205
backfill_11,connected,leg0,8,0.0007527740814304668,0.0007527740814304668,3.54798093615757e-05,0.0018808061046395382
backfill_11,connected,leg0,9,0.0005116212640585498,0.0005116212640585498,2.924030527941795e-05,0.0012673454654170252
backfill_11,connected,leg0,10,0.000338594364703331,0.000338594364703331,2.8248550608476647e-05,0.0008570428471425008
backfill_11,connected,leg0,11,0.0002190301080645748,0.0002190301080645748,2.418578504666482e-05,0.000560434564923246
backfill_11,connected,leg0,12,0.00014048185963671996,0.00014048185963671996,2.6490479734175835e-05,0.00034256459800407726
backfill_11,connected,leg0,13,8.965995862038295e-05,8.965995862038295e-05,2.845151906673138e-05,0.00021150089078364592
backfill_11,connected,leg0,14,5.76288067833416e-05,5.76288067833416e-05,2.378318288865052e-05,0.00011811044768068291
backfill_11,connected,leg0,15,3.7858244973161e-05,3.7858244973161e-05,1.7980792757106875e-05,6.781828568424465e-05
backfill_11,connected,leg0,16,2.570441712879949e-05,2.570441712879949e-05,1.1991593790181156e-05,3.960366601187335e-05
backfill_11,connected,leg0,17,1.8084736114270472e-05,1.8084736114270472e-05,7.512776833232215e-06,3.312206438615584e-05
backfill_11,connected,leg0,18,1.3106856981112904e-05,1.3106856981112904e-05,4.423319890491105e-06,2.6482128568473686e-05
backfill_11,connected,leg0,19,9.672325300822505e-06,9.672325300822505e-06,2.424661714679332e-06,2.1290275815423744e-05
backfill_11,connected,leg0,20,7.168675199875065e-06,7.168675199875065e-06,1.1924756957739698e-06,1.7104397148229387e-05
backfill_11,connected,leg0,21,5.263830239817968e-06,5.263830239817968e-06,5.18240348245673e-07,1.3868213860640526e-05
backfill_11,connected,leg0,22,3.786235700647156e-06,3.786235700647156e-06,2.3253077218667674e-07,9.717368969790878e-06
backfill_11,connected,leg0,23,2.648692810052269e-06,2.648692810052269e-06,1.2519336710320634e-07,7.384154890918762e-06
backfill_11,connected,leg0,24,1.798949561308348e-06,1.798949561308348e-06,9.574237264809945e-08,4.739744927803082e-06
backfill_11,connected,leg0,25,1.1923447215669288e-06,1.1923447215669288e-06,1.1134651124381597e-07,3.3967911251754435e-06
backfill_11,connected,leg0,26,7.801198423430993e-07,7.801198423430993e-07,8.600132533630773e-08,2.0429977638118267e-06
backfill_11,connected,leg0,27,5.103238790873824e-07,5.103238790873824e-07,9.684473205244182e-08,1.369936270030067e-06
backfill_11,connected,leg0,28,3.3597134259203295e-07,3.3597134259203295e-07,9.653978667546609e-08,8.030192740675743e-07
backfill_11,connected,leg0,29,2.227394919178583e-07,2.227394919178583e-07,9.568747459325616e-08,4.833535243335897e-07
backfill_11,connected,leg0,30,1.4921967473080485e-07,1.4921967473080485e-07,7.249772971143752e-08,2.741062627301781e-07
backfill_11,connected,leg0,31,1.0110654968475317e-07,1.0110654968475317e-07,4.869320456445093e-08,1.580324267230577e-07
backfill_11,connected,leg0,32,6.897761476377387e-08,6.897761476377387e-08,3.0701267792560815e-08,1.147304512657364e-07
backfill_11,connected,leg1,1,0.08747053693432157,0.08747053693432157,0.04988087566973649,0.13492052750741912
backfill_11,connected,leg1,2,0.0021746548962423428,0.0023592405554017843,-0.0003294048651815553,0.006436574847807417
backfill_11,connected,leg1,3,0.0028905225138349173,0.0028905225138349173,0.00044571805344095235,0.006355234103544568
backfill_11,connected,leg1,4,0.0022334146517831313,0.0022334146517831313,0.00014986051118183284,0.005383220337028174
backfill_11,connected,leg1,5,0.0020882645340562778,0.0020882645340562778,0.00016905265763587227,0.004822303987341746
backfill_11,connected,leg1,6,0.0014242977036775552,0.0014242977036775552,9.016464136745304e-05,0.0034980830206036966
backfill_11,connected,leg1,7,0.0010694203037561996,0.0010694203037561996,6.73591830405388e-05,0.002532514308068478
backfill_11,connected,leg1,8,0.0007534590311763407,0.0007534590311763407,3.473536399894468e-05,0.0018818934698394852
backfill_11,connected,leg1,9,0.0005121041863782758,0.0005121041863782758,2.871484347771043e-05,0.0012681080833666426
backfill_11,connected,leg1,10,0.00033906399188265675,0.00033906399188265675,2.8109455087775076e-05,0.0008572358240885457
backfill_11,connected,leg1,11,0.0002192837640797524,0.0002192837640797524,2.432913528484355e-05,0.0005616072114224441
backfill_11,connected,leg1,12,0.00014052403664559067,0.00014052403664559067,2.6632101064736185e-05,0.0003422841017787173
backfill_11,connected,leg1,13,8.967536259445342e-05,8.967536259445342e-05,2.79280192883552e-05,0.0002117057712270881
backfill_11,connected,leg1,14,5.763900996695464e-05,5.763900996695464e-05,2.4375719900063298e-05,0.00011883148180658587
backfill_11,connected,leg1,15,3.786197980913172e-05,3.786197980913172e-05,1.8108073592224325e-05,6.764001573748031e-05
backfill_11,connected,leg1,16,2.5706775599714967e-05,2.5706775599714967e-05,1.2744104246618326e-05,3.9782119958213874e-05
backfill_11,connected,leg1,17,1.8088407642327622e-05,1.8088407642327622e-05,8.055039918761007e-06,3.3163432803718355e-05
backfill_11,connected,leg1,18,1.3111948123647307e-05,1.3111948123647307e-05,4.733444445084522e-06,2.6514251490754034e-05
backfill_11,connected,leg1,19,9.678227709167751e-06,9.678227709167751e-06,2.5755039012901476e-06,2.1313226598707616e-05
backfill_11,connected,leg1,20,7.173850267950459e-06,7.173850267950459e-06,1.2002846992061145e-06,1.712018442745796e-05
backfill_11,connected,leg1,21,5.267537744651296e-06,5.267537744651296e-06,4.92872106807625e-07,1.3883964105256931e-05
backfill_11,connected,leg1,22,3.7883366368425624e-06,3.7883366368425624e-06,2.4420793182642236e-07,9.723049050364146e-06
backfill_11,connected,leg1,23,2.649800777448692e-06,2.649800777448692e-06,1.206902170044039e-07,7.387120361484371e-06
backfill_11,connected,leg1,24,1.799699586218288e-06,1.799699586218288e-06,1.0004826658713107e-07,4.7393048054502675e-06
backfill_11,connected,leg1,25,1.1929582783974894e-06,1.1929582783974894e-06,1.1478403198275898e-07,3.3974013764004223e-06
backfill_11,connected,leg1,26,7.809601837304515e-07,7.809601837304515e-07,8.651747541825626e-08,2.0468462302809573e-06
backfill_11,connected,leg1,27,5.106660138691031e-07,5.106660138691031e-07,9.715054925604121e-08,1.3692226782833046e-06
backfill_11,connected,leg1,28,3.357829724606558e-07,3.357829724606558e-07,9.640920842938886e-08,8.028665780280859e-07
backfill_11,connected,leg1,29,2.2263498867052914e-07,2.2263498867052914e-07,9.519597129863575e-08,4.841606396367045e-07
backfill_11,connected,leg1,30,1.4913259022500987e-07,1.4913259022500987e-07,7.464339654398991e-08,2.750843042132076e-07
backfill_11,connected,leg1,31,1.0103475742579859e-07,1.0103475742579859e-07,5.064063781058144e-08,1.584421572127783e-07
backfill_11,connected,leg1,32,6.892873919898347e-08,6.892873919898347e-08,3.21753235230337e-08,1.1488397707991824e-07
backfill_12,raw,rung,1,0.05659777673464335,0.05659777673464335,0.04961582692072258,0.0667255443059026
backfill_12,raw,rung,2,0.016727424500331975,0.016727424500331975,0.00510770874953351,0.033473990251017806
backfill_12,raw,rung,3,0.008392822426723035,0.008392822426723035,0.0009937256107962111,0.019104114274767176
backfill_12,raw,rung,4,0.007305991263930906,0.007305991263930906,0.0006247419494917934,0.016419128377888496
