id,excluded_edge_rungs,short_connected_abs,long_connected_abs,long_raw_abs
backfill_40,12,0.011186299359241965,0.0002069966402941025,0.00991328493081629
backfill_41,4,0.01214579895417294,0.00024141260486520945,0.010117010720781753
backfill_41,8,0.011764579004690287,0.00022695487608714987,0.010055018048324576
backfill_41,12,0.011417787313009214,0.00022809319252161552,0.01013597270197652
backfill_42,4,0.012146641001177778,0.0002414136719989608,0.010116987408660887
backfill_42,8,0.011765313841122584,0.0002269549217833195,0.01005498024982637
backfill_42,12,0.011418524875821437,0.0002280934553383847,0.010135982442277116
backfill_43,4,0.01746802828591944,0.0004032091426282659,0.0004032091429126981
backfill_43,8,0.015239477004979754,0.00035380109188108417,0.000353801092143589
backfill_43,12,0.014728805792504445,0.0003686427766272676,0.00036864277688208056
backfill_44,4,0.011674394331053954,0.00032397241136176513,0.009143380120238445
backfill_44,8,0.011091990820442595,0.00030253178366670643,0.009091539564189486
backfill_44,12,0.010721445185840046,0.0003045508667644981,0.00925027707739832
backfill_45,4,0.012212283197022169,0.00033545765679428595,0.010232906500400367
backfill_45,8,0.01164780587317324,0.0003159063841536435,0.010172824097537211
backfill_45,12,0.011317652841883314,0.0003193873050715303,0.010326543665747812
backfill_46,4,0.012212313397631588,0.0003354616867348479,0.0102327222869623
backfill_46,8,0.011647784062560904,0.0003159016068577436,0.010172652670513154
backfill_46,12,0.011317553959094432,0.00031938269201645076,0.010326378017276965
backfill_47,4,0.012457363299481118,0.00033693472520284076,0.011140036269724355
backfill_47,8,0.011927307807963517,0.00031904361768037633,0.011073654763475518
backfill_47,12,0.01164678419373565,0.000322876776101189,0.011218320262921461
backfill_48,4,0.012456953397423056,0.0003369278008124999,0.01114003466225916
backfill_48,8,0.011926937913174904,0.00031903503604237905,0.011073647921114246
backfill_48,12,0.011646390324059558,0.00032286655435185516,0.011218291113599135
backfill_49,4,0.007858878857491302,1.959892271443585e-06,1.959892271443578e-06
backfill_49,8,0.007439167161703239,1.8437882472546442e-06,1.8437882472546419e-06
backfill_49,12,0.006316296842990564,1.5530450050236416e-06,1.553045005023647e-06
backfill_50,4,0.0078630422312658,1.983069589055188e-06,1.9830695890551895e-06
backfill_50,8,0.007454642942773705,1.8700731857056633e-06,1.8700731857056582e-06
backfill_50,12,0.006318525253675645,1.5538518485054712e-06,1.553851848505455e-06
backfill_51,4,0.009768912067108556,1.7024766347752718e-05,1.7024766347998018e-05
backfill_51,8,0.009615745103762605,1.9410099512951816e-05,1.9410099513262884e-05
backfill_51,12,0.009030219477916048,2.2244542350095077e-05,2.2244542350522517e-05
backfill_52,4,0.00784525291821004,1.911784070715869e-06,1.9117840707158865e-06
backfill_52,8,0.0072899225243137555,1.7258117550583723e-06,1.7258117550583295e-06
backfill_52,12,0.00627221917693821,1.3959469056604395e-06,1.3959469056602845e-06
backfill_53A,4,0.006236132900569176,5.1072561671599715e-05,0.004403096110853261
backfill_53A,8,0.005977724105524526,4.641091245203553e-05,0.004395652169896389
backfill_53A,12,0.005731584986221773,4.5854344297274886e-05,0.004450279226987401
backfill_54A,4,0.006236259850438227,5.1072603176075915e-05,0.004403038208031824
backfill_54A,8,0.005977733865499498,4.641084885632313e-05,0.004395601181457409
backfill_54A,12,0.005731574700701313,4.5854496062401e-05,0.004450252945772231
backfill_55A,4,0.005949672959465541,6.984477357898711e-07,6.984477357738551e-07
backfill_55A,8,0.005842669859864916,6.64134685992458e-07,6.641346859858618e-07
backfill_55A,12,0.005557563953332344,6.293292154048874e-07,6.29329215404897e-07
backfill_55B,4,0.005926107812296294,6.941985622290629e-07,6.94198562229647e-07
backfill_55B,8,0.005810406144508091,6.542387016041599e-07,6.54238701604734e-07
backfill_55B,12,0.005618781619901396,6.382572138947989e-07,6.382572138952401e-07
backfill_56A,4,0.005962699044188337,6.969467155013738e-07,6.969467154909265e-07
backfill_56A,8,0.005864833437061995,6.651759478898122e-07,6.651759478870792e-07
backfill_56A,12,0.005522777296151921,6.19196823849813e-07,6.191968238510503e-07
backfill_56B,4,0.005926803306217736,6.94448403953821e-07,6.944484039540029e-07
backfill_56B,8,0.005811693133363213,6.545955545240632e-07,6.545955545242725e-07
backfill_56B,12,0.005618624299486038,6.380948302165484e-07,6.380948302166957e-07
