geometry	rung	charge_even	charge_even_centered	charge_odd	spin_even	spin_odd	beta_nn	beta_nn_centered
cubic_frustrated	35	-0.01264135468664715	0.0001563872360479598	-1.905257051952602e-09	4.67768185297146e-15	1.693870738117553e-14	0.04501425629824771	0.0002706287055586065
cubic_frustrated	36	-0.013907539608899	-0.00110979768620389	-8.648378627823528e-10	-4.433953204596719e-15	-2.633657181227989e-14	0.04565908223725557	0.0009154546445664657
cubic_frustrated	37	-0.01522548787812151	-0.002427745955426396	-3.825616802510812e-10	-5.376341732921119e-15	2.274439317440091e-14	0.04627036699896394	0.001526739406274832
cubic_frustrated	38	-0.01635953273281328	-0.003561790810118169	-1.196020194341174e-09	-2.193557835372673e-15	-2.450383645991039e-14	0.04673747213935955	0.001993844546670447
cubic_frustrated	39	-0.01710234777712324	-0.004304605854428132	-8.326666266211813e-10	2.745199900733297e-15	1.795699006157392e-14	0.04697326647359211	0.002229638880903002
cubic_frustrated	40	-0.01731172179625327	-0.004513979873558158	1.262737117993518e-09	4.478188653234128e-15	-1.626563467249653e-14	0.0469297749725219	0.002186147379832797
cubic_frustrated	41	-0.0169369548261243	-0.004139212903429189	1.044154197132885e-09	3.393119119010635e-15	1.409636296578753e-14	0.04660769320426945	0.001864065611580347
cubic_frustrated	42	-0.01602993416951246	-0.00323219224681735	1.068816927324301e-09	3.530162273612802e-16	-1.969865243145463e-14	0.04605729124779018	0.00131366365510107
cubic_frustrated	43	-0.01473852032762551	-0.001940778404930399	2.916307802885987e-09	5.234528088760015e-16	1.572049782017082e-14	0.04537094477245653	0.0006273171797674185
cubic_frustrated	44	-0.01328310237452208	-0.0004853604518269689	2.298732661686065e-09	5.178149575790769e-15	-1.585537257042802e-15	0.04466816099832729	-7.546659436181297e-05
cubic_frustrated	45	-0.01192033220876982	0.000877409713925293	1.468507045999934e-09	2.103352214621879e-16	2.99109695345301e-15	0.04407568014792086	-0.0006679474447682451
cubic_frustrated	46	-0.01090009932155472	0.001897642601140391	8.814993960465367e-10	-6.47355433147645e-15	1.157711079780022e-14	0.04370608637571499	-0.001037541216974122
cubic_frustrated	47	-0.0104230668347403	0.002374675087954808	-2.847095880234574e-09	-1.272853350497982e-15	3.652893959538162e-15	0.04363830471168254	-0.001105322881006565
cubic_frustrated	48	-0.01060546669242092	0.002192275230274191	-2.840298473846814e-09	9.658072952500873e-16	-1.109399030974068e-14	0.04390313029441419	-0.0008404972982749143
cubic_frustrated	49	-0.011456525150548	0.001341216772147113	-2.070082844723986e-09	1.65969668564081e-15	1.343499964057138e-14	0.04447578612759231	-0.0002678414650967992
cubic_frustrated	50	-0.01287177677577662	-7.403485308151575e-05	-2.179391490192417e-09	1.074661193367632e-15	-1.266348137463069e-16	0.04527686606712431	0.0005332384744351978
cubic_frustrated	51	-0.01464318294740491	-0.001845441024709798	-1.119352128348128e-10	-1.978452124351548e-15	-1.553097928042035e-14	0.04618142909451256	0.001437801501823453
cubic_frustrated	52	-0.01648511131780409	-0.003687369395108983	2.990904832828045e-10	-4.490331717565965e-15	1.538786459365227e-14	0.04703558412107224	0.002291956528383134
cubic_frustrated	53	-0.01807331368957239	-0.005275571766877277	-7.059513928292516e-10	-1.399054483375295e-15	-1.745218553006467e-14	0.04767867564661658	0.002935048053927476
cubic_frustrated	54	-0.01909268885199927	-0.006294946929304164	-1.629437265671108e-09	8.61116733474887e-15	1.592302678599111e-14	0.04796931379256333	0.003225686199874227
cubic_frustrated	55	-0.01928844002818342	-0.006490698105488309	-1.934204116316174e-10	1.079865363795562e-15	-7.781102151493968e-15	0.04780989504162068	0.003066267448931577
