geometry	block	rank	eigenvalue_real	basis_index	basis_label	coefficient_real	coefficient_imag	weight	cumulative_weight
cubic_unfrustrated	normal	1	3.563727056095904	3	charge_even_m9	-5.482162600404223e-05	-0	3.005410677727079e-09	0.9999999999305011
cubic_unfrustrated	normal	1	3.563727056095904	4	spin_odd_m58	7.640295264479233e-06	0	5.837411172842379e-11	0.9999999999888752
cubic_unfrustrated	normal	1	3.563727056095904	1	charge_even_m7	3.325569677520183e-06	0	1.10594136800417e-11	0.9999999999999346
cubic_unfrustrated	normal	1	3.563727056095904	8	cov_charge_odd_rank1	2.272464023558511e-07	0	5.164092738367735e-14	0.9999999999999862
cubic_unfrustrated	normal	1	3.563727056095904	7	cov_charge_even_rank1	-1.164079615590111e-07	-0	1.35508135143242e-14	0.9999999999999998
cubic_unfrustrated	normal	1	3.563727056095904	9	cov_spin_even_rank1	5.33837617201999e-09	0	2.84982601539908e-17	0.9999999999999998
cubic_unfrustrated	normal	2	3.046317212032699	4	spin_odd_m58	0.9999999757120069	0	0.9999999514240144	0.9999999514240144
cubic_unfrustrated	normal	2	3.046317212032699	2	charge_even_m8	-0.0002174012647536056	-0	4.72633099164673e-08	0.9999999986873244
cubic_unfrustrated	normal	2	3.046317212032699	3	charge_even_m9	-3.068766405875451e-05	-0	9.417327253829733e-10	0.9999999996290571
cubic_unfrustrated	normal	2	3.046317212032699	6	spin_odd_m63	-1.534441561258727e-05	-0	2.35451090491812e-10	0.9999999998645082
cubic_unfrustrated	normal	2	3.046317212032699	5	spin_odd_m59	-1.148014210242377e-05	-0	1.317936626918429e-10	0.9999999999963018
cubic_unfrustrated	normal	2	3.046317212032699	1	charge_even_m7	1.807054211977375e-06	0	3.265444925025173e-12	0.9999999999995673
cubic_unfrustrated	normal	2	3.046317212032699	7	cov_charge_even_rank1	-6.256473210182736e-07	-0	3.914345702973427e-13	0.9999999999999588
cubic_unfrustrated	normal	2	3.046317212032699	8	cov_charge_odd_rank1	2.032289436142478e-07	0	4.130200352256313e-14	1
cubic_unfrustrated	normal	2	3.046317212032699	9	cov_spin_even_rank1	-5.163388271457897e-09	-0	2.666057844182897e-17	1
cubic_unfrustrated	normal	3	2.958144636080004	6	spin_odd_m63	0.9895594707515488	0	0.9792279461540854	0.9792279461540854
cubic_unfrustrated	normal	3	2.958144636080004	5	spin_odd_m59	-0.1441250072026838	0	0.02077201770117367	0.999999963855259
cubic_unfrustrated	normal	3	2.958144636080004	2	charge_even_m8	-0.0001713052789798162	0	2.934549860635265e-08	0.9999999932007576
cubic_unfrustrated	normal	3	2.958144636080004	3	charge_even_m9	-7.806956386917246e-05	0	6.094856802722799e-09	0.9999999992956145
cubic_unfrustrated	normal	3	2.958144636080004	4	spin_odd_m58	2.531631984690727e-05	0	6.409160505909108e-10	0.9999999999365305
cubic_unfrustrated	normal	3	2.958144636080004	1	charge_even_m7	7.966333402117574e-06	0	6.346246787369417e-11	0.999999999999993
cubic_unfrustrated	normal	3	2.958144636080004	8	cov_charge_odd_rank1	6.781181839782582e-08	0	4.598442714419709e-15	0.9999999999999976
cubic_unfrustrated	normal	3	2.958144636080004	9	cov_spin_even_rank1	4.424988295244961e-08	0	1.958052141305491e-15	0.9999999999999996
cubic_unfrustrated	normal	3	2.958144636080004	7	cov_charge_even_rank1	-1.876085618865064e-08	0	3.519697249312309e-16	0.9999999999999999
cubic_unfrustrated	pair	1	24.4730200100419	12	pair_leg_s_q0	0.8158570869854073	0	0.6656227863843144	0.6656227863843144
cubic_unfrustrated	pair	1	24.4730200100419	11	pair_rung_s_q0	-0.5775099153326944	0	0.3335177023075758	0.9991404886918902
cubic_unfrustrated	pair	1	24.4730200100419	10	pair_onsite_s_q0	-0.02931742328564775	0	0.0008595113081098411	1
cubic_unfrustrated	pair	2	0.05332809216226256	12	pair_leg_s_q0	0.7137414360123707	0	0.509426837481001	0.509426837481001
cubic_unfrustrated	pair	2	0.05332809216226256	11	pair_rung_s_q0	0.6653391918593246	0	0.4426762402240191	0.9521030777050201
cubic_unfrustrated	pair	2	0.05332809216226256	10	pair_onsite_s_q0	0.2188536549728609	0	0.04789692229498006	1
cubic_unfrustrated	pair	3	0.01159935268945737	10	pair_onsite_s_q0	0.9844126075772563	0	0.9690681819570534	0.9690681819570534
cubic_unfrustrated	pair	3	0.01159935268945737	11	pair_rung_s_q0	-0.1371332881070741	-0	0.0188055387070578	0.9878737206641112
cubic_unfrustrated	pair	3	0.01159935268945737	12	pair_leg_s_q0	-0.1101193867395242	-0	0.01212627933588889	1
square	normal	1	1.187909018698632	5	spin_odd_m59	0.9895626395205115	0	0.9792342175348018	0.9792342175348018
square	normal	1	1.187909018698632	6	spin_odd_m63	0.1441019801256837	0	0.02076538067614294	0.9999995982109448
square	normal	1	1.187909018698632	2	charge_even_m8	0.000631438156716889	0	3.987141457580225e-07	0.9999999969250906
square	normal	1	1.187909018698632	3	charge_even_m9	-5.482162600428376e-05	0	3.005410677753561e-09	0.9999999999305013
square	normal	1	1.187909018698632	4	spin_odd_m58	7.640295263228787e-06	0	5.837411170931623e-11	0.9999999999888753
square	normal	1	1.187909018698632	1	charge_even_m7	3.325569677620269e-06	0	1.105941368070738e-11	0.9999999999999347
square	normal	1	1.187909018698632	8	cov_charge_odd_rank1	2.272464029935235e-07	0	5.164092767349488e-14	0.9999999999999863
square	normal	1	1.187909018698632	7	cov_charge_even_rank1	-1.164079617849914e-07	0	1.355081356693601e-14	0.9999999999999999
square	normal	1	1.187909018698632	9	cov_spin_even_rank1	5.33837586690644e-09	0	2.849825689636909e-17	0.9999999999999999
