branch	seed	rung	charge_even	charge_odd	spin_even	spin_odd
square__stripe_m005_chi200_loose	stripe, m=5	45	-0.0001974479176616597	0	0	2.425777524180065e-05
square__stripe_m005_chi200_loose	stripe, m=5	46	-0.0001784136199325268	0	0	0.0002165147625753396
square__stripe_m005_chi200_loose	stripe, m=5	47	-0.0001166662119748606	0	0	-0.0004438968523318884
square__stripe_m005_chi200_loose	stripe, m=5	48	-2.724469816776416e-05	0	0	0.0006438259514714917
square__stripe_m005_chi200_loose	stripe, m=5	49	6.807169897220234e-05	0	0	-0.000803937359379807
square__stripe_m005_chi200_loose	stripe, m=5	50	0.0001460680176935912	0	0	0.0009143289175804167
square__stripe_m005_chi200_loose	stripe, m=5	51	0.0001877477200427921	0	0	-0.0009681734129593936
square__stripe_m005_chi200_loose	stripe, m=5	52	0.0001829594288708403	0	0	0.0009621408096792507
square__stripe_m005_chi200_loose	stripe, m=5	53	0.0001328693653080663	0	0	-0.0008966041966690386
square__stripe_m005_chi200_loose	stripe, m=5	54	4.967730761538919e-05	0	0	0.0007756167137800171
square__stripe_m005_chi200_loose	stripe, m=5	55	-4.635474841937478e-05	0	0	-0.0006066608836186717
square__stripe_m005_chi200_loose	stripe, m=5	56	-0.0001318375374163553	0	0	0.0004001858517370169
square__stripe_m005_chi200_loose	stripe, m=5	57	-0.0001859511402795987	0	0	-0.0001689611547584866
square__stripe_m005_chi200_loose	stripe, m=5	58	-0.0001955158181771959	0	0	-7.271301707404341e-05
square__stripe_m005_chi200_loose	stripe, m=5	59	-0.0001582020282579678	0	0	0.0003098902212777718
square__stripe_m005_chi200_loose	stripe, m=5	60	-8.309779977782914e-05	0	0	-0.0005279021322555399
square__stripe_m005_chi200_loose	stripe, m=5	61	1.15047177081129e-05	0	0	0.000713265710163715
square__stripe_m005_chi200_loose	stripe, m=5	62	0.0001025644327305496	0	0	-0.0008545170652758761
square__stripe_m005_chi200_loose	stripe, m=5	63	0.0001679031276399066	0	0	0.0009429204471442494
square__stripe_m005_chi200_loose	stripe, m=5	64	0.0001916071155079757	0	0	-0.0009730085108210398
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	1	0.0001368085433739683	0	0	-0.0006840427168698414
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	2	0.0001258952988541301	0	0	0.000670264568013103
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	3	9.486946389558029e-05	0	0	-0.0006294764942706508
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	4	4.860357067997635e-05	0	0	0.0005632959476980109
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	5	-5.636434399704818e-06	0	0	-0.0004743473194779015
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	6	-5.933229000941331e-05	0	0	0.0003661578696241012
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	7	-0.0001040511921704814	0	0	-0.0002430178533998817
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	8	-0.0001327701456855417	0	0	0.0001098103911412752
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	9	-0.0001409789085123537	0	0	2.818217199852396e-05
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	10	-0.0001273883143448802	0	0	-0.0001654877375745859
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	11	-9.413273305704506e-05	0	0	0.0002966614500470667
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	12	-4.643487308719305e-05	0	0	-0.0004165016126599669
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	13	8.214432263660453e-06	0	0	0.000520255960852407
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	14	6.123264204591588e-05	0	0	-0.000603810113425283
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	15	0.0001042933749156691	0	0	0.0006638507284277084
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	16	0.0001306340471437811	0	0	-0.0006979968938125998
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	17	0.0001361179199997892	0	0	0.0007048945425617685
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	18	0.0001198837645431439	0	0	-0.000684270148246433
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	19	8.448111554092613e-05	0	0	0.0006369415717244009
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	20	3.546987321208884e-05	0	0	-0.0005647856288478756
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	21	-1.945286562617248e-05	0	0	0.0004706636652852252
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	22	-7.166161795779284e-05	0	0	-0.0003583080897889646
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	23	-0.0001129571257695751	0	0	0.0002321743654359655
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	24	-0.0001368540296492866	0	0	-9.726432813086299e-05
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	25	-0.00013959937876252	0	0	-4.107216131830223e-05
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	26	-0.0001207620226850567	0	0	0.0001773493660604439
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	27	-8.33003225319935e-05	0	0	-0.0003061632102295796
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	28	-3.309754751491727e-05	0	0	0.0004224055777046306
