geometry	mode_number	q_over_pi	coefficient	absolute_profile_cosine
cubic_unfrustrated	26	0.4126984126984127	0.0003908060040665865	0.05668697767871583
cubic_unfrustrated	27	0.4285714285714285	-6.367821031423054e-10	9.238837901327624e-08
cubic_unfrustrated	28	0.4444444444444444	0.0003926887463295551	0.05696007217451451
cubic_unfrustrated	29	0.4603174603174603	-2.453745822980851e-10	3.560049784076319e-08
cubic_unfrustrated	30	0.4761904761904762	0.0003940607507810208	0.05715908341002787
cubic_unfrustrated	31	0.492063492063492	-2.841271298899171e-10	4.122296283509104e-08
cubic_unfrustrated	32	0.5079365079365079	0.0003949454952720287	0.05728741688160012
cubic_unfrustrated	33	0.5238095238095238	-5.892707395222398e-10	8.549512957216197e-08
cubic_unfrustrated	34	0.5396825396825397	0.0003953864114027114	0.05735137240581954
cubic_unfrustrated	35	0.5555555555555556	-1.994059115478358e-10	2.89310721061058e-08
cubic_unfrustrated	36	0.5714285714285714	0.0003954520021555568	0.05736088643964653
cubic_unfrustrated	37	0.5873015873015873	-1.093847958258184e-11	1.587023881214517e-09
cubic_unfrustrated	38	0.6031746031746031	0.0003952509671370509	0.05733172601864971
cubic_unfrustrated	39	0.6190476190476191	-2.111246861363767e-10	3.06313061268499e-08
cubic_unfrustrated	40	0.6349206349206349	0.0003948894217558261	0.05727928333675108
cubic_unfrustrated	41	0.6507936507936508	-2.983563835093134e-10	4.328743301268157e-08
cubic_unfrustrated	42	0.6666666666666666	0.0003944659886696449	0.05721786375349236
cubic_unfrustrated	43	0.6825396825396826	3.525658265602232e-10	5.115248220782415e-08
cubic_unfrustrated	44	0.6984126984126984	0.000394042423060402	0.05715642494757132
cubic_unfrustrated	45	0.7142857142857143	-5.239713031779813e-10	7.602107392353814e-08
cubic_unfrustrated	46	0.7301587301587301	0.0003936591778583993	0.05710083467519744
cubic_unfrustrated	47	0.746031746031746	1.812498432857561e-10	2.629687473745091e-08
cubic_unfrustrated	48	0.7619047619047619	0.0003933277865923366	0.05705276589143583
cubic_unfrustrated	49	0.7777777777777778	3.134720653458637e-11	4.548051199387292e-09
cubic_unfrustrated	50	0.7936507936507936	0.0003930509856787251	0.05701261551747006
cubic_unfrustrated	51	0.8095238095238095	1.060404564103748e-10	1.538502077599158e-08
cubic_unfrustrated	52	0.8253968253968254	0.0003928181597447693	0.05697884377808057
cubic_unfrustrated	53	0.8412698412698413	-5.09477289416356e-12	7.391819143498091e-10
cubic_unfrustrated	54	0.8571428571428571	0.0003926268946507658	0.0569511004988022
cubic_unfrustrated	55	0.873015873015873	2.020342295170854e-10	2.931240516348886e-08
cubic_unfrustrated	56	0.8888888888888888	0.0003924722702391289	0.05692867200364134
cubic_unfrustrated	57	0.9047619047619048	-1.496595819494572e-10	2.171355964736653e-08
cubic_unfrustrated	58	0.9206349206349206	0.0003923552085437519	0.05691169203495145
cubic_unfrustrated	59	0.9365079365079365	1.232121936529834e-10	1.787640511431104e-08
cubic_unfrustrated	60	0.9523809523809523	0.0003922752637448127	0.05690009592592077
cubic_unfrustrated	61	0.9682539682539683	2.418700912631114e-10	3.509204415635174e-08
cubic_unfrustrated	62	0.9841269841269841	0.0003922353525477104	0.05689430674889766
cubic_unfrustrated	63	1	1.496629935867494e-10	3.047117719088323e-08
square	1	0.01587301587301587	1.961268830824165e-08	8.536598964352487e-06
square	2	0.03174603174603174	0.0008732483842371128	0.37999783383668
square	3	0.04761904761904762	-6.918760666202023e-09	3.011452800851995e-06
square	4	0.06349206349206349	0.0009556472401567674	0.4158540545011404
square	5	0.07936507936507936	-4.737549988740832e-09	2.062061237719775e-06
square	6	0.09523809523809523	0.001122232145394953	0.4883442008135219
square	7	0.1111111111111111	5.075022748333883e-09	2.208949291218636e-06
square	8	0.126984126984127	0.001666199427544374	0.7250539304002402
square	9	0.1428571428571428	-1.566178873850415e-09	6.816934395595745e-07
square	10	0.1587301587301587	0.000108307325602058	0.04713040397249771
square	11	0.1746031746031746	-4.773163522737667e-09	2.077562348672591e-06
