lineage,role,rung,charge_even,charge_odd,spin_even,spin_odd,pair_onsite_even,pair_onsite_odd,pair_rung,pair_leg_even,pair_leg_odd,pair_extended_s,pair_d,density,staggered_spin_odd
pairing,chi400_endpoint,60,-0.003426322388711659,3.866986192846075e-09,6.826687527989109e-10,2.3311307712556425e-06,-0.0002133195336463244,3.017840734376013e-09,0.0,0.0041593951022008396,1.041606167322736e-08,0.0041593951022008396,0.0041593951022008396,0.9497914491760664,1.707993068478242e-05
pairing,chi400_endpoint,61,-0.002346963796589427,5.27432555811648e-09,2.8553299667158014e-09,-2.606141876677231e-06,-0.00018310991167490341,1.8236618885332121e-09,0.0,0.0034781039147291515,-6.063793211042584e-09,0.0034781039147291515,0.0034781039147291515,0.965608125069836,1.9094905853084265e-05
pairing,chi400_endpoint,62,-0.0013519247094619293,5.085470664804165e-09,2.622543336411754e-09,2.616897122330894e-06,-0.000128435512926812,7.580201363789011e-10,0.0,0.0025935705549394172,1.6145132330776073e-08,0.0025935705549394172,0.0025935705549394172,0.9801892020701899,1.9173708317762883e-05
pairing,chi400_endpoint,63,-0.0006251198361646724,2.363820465322436e-09,1.2308903267303772e-09,-2.353458528442452e-06,-7.846018032514356e-05,2.786628298717588e-10,0.0,0.0016316340280260236,-1.4448170833781387e-08,0.0016316340280260236,0.0016316340280260236,0.990839635765587,1.7243523628515667e-05
pairing,chi400_endpoint,64,-0.00018762817493287224,-1.2918851828146866e-10,3.002151708180194e-10,1.5958608043151377e-06,-5.609020753353368e-05,1.6518846854214663e-11,0.0,0.001131473066957696,2.156352073593923e-08,0.001131473066957696,0.001131473066957696,0.9972505392988833,1.1692691056358617e-05
pairing,chi200_parent,1,-0.00019405801530529966,-6.636946221609281e-09,3.0402009521847406e-08,8.54406298081363e-08,-5.808007635357636e-05,-8.59140783726419e-10,0.0,0.0011702253528340116,-5.354663514347581e-09,0.0011702253528340116,0.0011702253528340116,0.9971563178770485,-6.260138010194538e-07
pairing,chi200_parent,2,-0.0006474597477070631,-8.315042678702644e-09,1.0306588354598296e-07,-1.2970112699174923e-07,-8.123151638167399e-05,2.36880876002541e-09,0.0,0.0016859085162033666,2.5623216924261765e-08,0.0016859085162033666,0.0016859085162033666,0.9905122717709514,-9.503054423515289e-07
pairing,chi200_parent,3,-0.0014006363481640293,1.8443987444749163e-08,2.2433875409433182e-07,1.8690639914058617e-07,-0.0001325469532546363,-1.3417612210683025e-08,0.0,0.0026745559541455207,3.5194493619352535e-08,0.0026745559541455207,0.0026745559541455207,0.979475392769714,-1.3694419812165792e-06
pairing,chi200_parent,4,-0.0024284151910399913,7.872727140383409e-08,2.9705982015936546e-07,-3.2899230517191135e-07,-0.00018850759629494975,3.008336664699844e-08,0.0,0.0035768584344738107,-1.5007405865111526e-08,0.0035768584344738107,0.0035768584344738107,0.9644145548175372,-2.4104892944881717e-06
pairing,chi200_parent,5,-0.0035349567512925053,2.0745427118783882e-09,3.2642441390650853e-07,2.1840774283099842e-07,-0.00021875210621758858,-1.1224367956570377e-08,0.0,0.004263919789713976,-3.4376626589826056e-08,0.004263919789713976,0.004263919789713976,0.9481995458768218,-1.6002487524813258e-06
pairing,chi200_parent,6,-0.004481949848359699,6.68447018704714e-08,3.020643914745588e-07,1.574294465908968e-07,-0.0002338923420435047,1.010569538698069e-08,0.0,0.004617764429640533,-4.729968874905843e-09,0.004617764429640533,0.004617764429640533,0.9343225239127879,1.1534676941649114e-06
